Version 4
SHEET 1 3748 852
WIRE -1648 -2496 -1824 -2496
WIRE -1568 -2496 -1648 -2496
WIRE -1408 -2496 -1488 -2496
WIRE -1264 -2496 -1360 -2496
WIRE -1216 -2496 -1264 -2496
WIRE -2096 -2480 -2128 -2480
WIRE -1968 -2480 -2016 -2480
WIRE -1936 -2480 -1968 -2480
WIRE -1264 -2464 -1264 -2496
WIRE -1408 -2448 -1408 -2496
WIRE -1360 -2432 -1360 -2496
WIRE -1936 -2416 -1936 -2480
WIRE -1824 -2416 -1824 -2496
WIRE -2096 -2256 -2128 -2256
WIRE -1968 -2256 -2016 -2256
WIRE -1936 -2256 -1936 -2336
WIRE -1936 -2256 -1968 -2256
WIRE -1824 -2256 -1824 -2336
WIRE -1408 -2256 -1408 -2368
WIRE -1408 -2256 -1824 -2256
WIRE -1360 -2256 -1360 -2384
WIRE -1264 -2256 -1264 -2384
WIRE -1264 -2256 -1360 -2256
WIRE -1216 -2256 -1264 -2256
WIRE -1824 -2208 -1824 -2256
WIRE 1984 -2176 1968 -2176
WIRE 2048 -2176 1984 -2176
WIRE 1248 -2160 1232 -2160
WIRE 1312 -2160 1248 -2160
WIRE 1968 -2160 1968 -2176
WIRE 1232 -2144 1232 -2160
WIRE 1968 -2064 1968 -2080
WIRE 1232 -2048 1232 -2064
WIRE 1312 -1968 1232 -1968
WIRE 1440 -1968 1392 -1968
WIRE 1520 -1968 1440 -1968
WIRE 1600 -1968 1520 -1968
WIRE 1232 -1952 1232 -1968
WIRE 1440 -1952 1440 -1968
WIRE 1440 -1872 1440 -1888
WIRE 1232 -1856 1232 -1872
WIRE -1792 -1808 -1840 -1808
WIRE -1664 -1808 -1712 -1808
WIRE -1584 -1808 -1664 -1808
WIRE -1520 -1808 -1584 -1808
WIRE -1840 -1792 -1840 -1808
WIRE -1184 -1792 -1264 -1792
WIRE -1104 -1792 -1184 -1792
WIRE -528 -1792 -592 -1792
WIRE -448 -1792 -528 -1792
WIRE 304 -1792 224 -1792
WIRE 432 -1792 384 -1792
WIRE 528 -1792 432 -1792
WIRE 592 -1792 528 -1792
WIRE -1664 -1776 -1664 -1808
WIRE -1264 -1776 -1264 -1792
WIRE -592 -1776 -592 -1792
WIRE 224 -1776 224 -1792
WIRE 432 -1776 432 -1792
WIRE -1840 -1696 -1840 -1712
WIRE -1664 -1696 -1664 -1712
WIRE 432 -1696 432 -1712
WIRE 1280 -1696 1232 -1696
WIRE 1328 -1696 1280 -1696
WIRE 1824 -1696 1776 -1696
WIRE 1888 -1696 1824 -1696
WIRE -1264 -1680 -1264 -1696
WIRE -592 -1680 -592 -1696
WIRE 224 -1680 224 -1696
WIRE 1232 -1680 1232 -1696
WIRE 1776 -1680 1776 -1696
WIRE -1792 -1584 -1840 -1584
WIRE -1664 -1584 -1712 -1584
WIRE -1568 -1584 -1664 -1584
WIRE -1520 -1584 -1568 -1584
WIRE -1232 -1584 -1264 -1584
WIRE -1104 -1584 -1232 -1584
WIRE -544 -1584 -592 -1584
WIRE -464 -1584 -544 -1584
WIRE 304 -1584 224 -1584
WIRE 432 -1584 384 -1584
WIRE 528 -1584 432 -1584
WIRE 592 -1584 528 -1584
WIRE 1232 -1584 1232 -1600
WIRE 1776 -1584 1776 -1600
WIRE -1840 -1568 -1840 -1584
WIRE -1264 -1568 -1264 -1584
WIRE -592 -1568 -592 -1584
WIRE 224 -1568 224 -1584
WIRE 432 -1568 432 -1584
WIRE -1664 -1552 -1664 -1584
WIRE 432 -1488 432 -1504
WIRE -1840 -1472 -1840 -1488
WIRE -1664 -1472 -1664 -1488
WIRE -1264 -1472 -1264 -1488
WIRE -592 -1472 -592 -1488
WIRE 224 -1472 224 -1488
WIRE 1328 -1456 1232 -1456
WIRE 1488 -1456 1408 -1456
WIRE 1552 -1456 1488 -1456
WIRE 1632 -1456 1552 -1456
WIRE 1232 -1440 1232 -1456
WIRE 1488 -1440 1488 -1456
WIRE 1488 -1360 1488 -1376
WIRE 1232 -1344 1232 -1360
WIRE -1920 -1120 -2000 -1120
WIRE -1856 -1120 -1920 -1120
WIRE -1824 -1120 -1856 -1120
WIRE -1920 -1104 -1920 -1120
WIRE -768 -1056 -848 -1056
WIRE -752 -1056 -768 -1056
WIRE -672 -1056 -752 -1056
WIRE -544 -1056 -592 -1056
WIRE -432 -1056 -464 -1056
WIRE -240 -1056 -352 -1056
WIRE -848 -1024 -848 -1056
WIRE -768 -1024 -768 -1056
WIRE -240 -1008 -240 -1056
WIRE -1920 -992 -1920 -1024
WIRE -1856 -928 -1920 -928
WIRE -1808 -928 -1856 -928
WIRE -848 -928 -848 -944
WIRE -768 -928 -768 -960
WIRE 464 -928 416 -928
WIRE 560 -928 464 -928
WIRE 1328 -928 1280 -928
WIRE 1424 -928 1328 -928
WIRE -1920 -912 -1920 -928
WIRE 416 -912 416 -928
WIRE 1280 -912 1280 -928
WIRE -1920 -816 -1920 -832
WIRE 416 -816 416 -832
WIRE 1280 -816 1280 -832
WIRE -784 -768 -912 -768
WIRE -1840 -752 -1920 -752
WIRE -1744 -752 -1840 -752
WIRE -656 -752 -704 -752
WIRE -608 -752 -656 -752
WIRE -1920 -736 -1920 -752
WIRE -912 -736 -912 -768
WIRE -704 -736 -704 -752
WIRE 1328 -736 1280 -736
WIRE 1424 -736 1328 -736
WIRE 464 -720 416 -720
WIRE 560 -720 464 -720
WIRE 1280 -720 1280 -736
WIRE 416 -704 416 -720
WIRE -1920 -640 -1920 -656
WIRE -704 -640 -704 -656
WIRE -912 -624 -912 -656
WIRE 1280 -624 1280 -640
WIRE 416 -608 416 -624
WIRE -608 -576 -704 -576
WIRE -464 -576 -608 -576
WIRE -1856 -560 -1920 -560
WIRE -1808 -560 -1856 -560
WIRE -704 -560 -704 -576
WIRE -1920 -544 -1920 -560
WIRE 464 -544 416 -544
WIRE 560 -544 464 -544
WIRE 1328 -544 1280 -544
WIRE 1424 -544 1328 -544
WIRE 416 -528 416 -544
WIRE 1280 -528 1280 -544
WIRE -704 -464 -704 -480
WIRE -1920 -448 -1920 -464
WIRE 416 -432 416 -448
WIRE 1280 -432 1280 -448
FLAG -2128 -2480 A_in
IOPIN -2128 -2480 BiDir
FLAG -1216 -2496 C_out
IOPIN -1216 -2496 BiDir
FLAG -1920 -992 0
FLAG -2000 -1120 Vc
IOPIN -2000 -1120 In
FLAG -2128 -2256 C_in
IOPIN -2128 -2256 BiDir
FLAG -1856 -1120 Vc
FLAG -1648 -2496 c_fly
FLAG -1968 -2480 a
FLAG -1856 -560 I_pk
FLAG -1920 -640 0
FLAG -1840 -752 I_Pk_min_mag
FLAG -1920 -448 0
FLAG -1920 -816 0
FLAG -1856 -928 I_pk_mag
FLAG -1264 -1680 0
FLAG -1184 -1792 Don_0
FLAG -1264 -1472 0
FLAG 1232 -1856 0
FLAG 1552 -1456 CCM
FLAG 1440 -1872 0
FLAG -592 -1680 0
FLAG -592 -1472 0
FLAG -544 -1584 Doff_1
FLAG 224 -1680 0
FLAG 528 -1792 Don_2
FLAG 432 -1696 0
FLAG 224 -1472 0
FLAG 528 -1584 Doff_2
FLAG 432 -1488 0
FLAG 416 -816 0
FLAG 464 -928 delta_I_demag
FLAG 1280 -624 0
FLAG 1328 -736 I_min_mag
FLAG 1280 -816 0
FLAG 1328 -928 delta_I_mag
FLAG 1280 -432 0
FLAG 1328 -544 I_mag
FLAG 416 -432 0
FLAG 464 -544 I_demag
FLAG 416 -608 0
FLAG 464 -720 I_min_demag
FLAG -1232 -1584 Doff_0
FLAG -752 -1056 CCM_Ind_V
FLAG -768 -928 0
FLAG -704 -640 0
