Version 4
SHEET 1 1400 852
WIRE -480 -2112 -592 -2112
WIRE -432 -2112 -480 -2112
WIRE -1808 -2096 -1856 -2096
WIRE -1680 -2096 -1728 -2096
WIRE -1616 -2096 -1680 -2096
WIRE -1536 -2096 -1616 -2096
WIRE -592 -2096 -592 -2112
WIRE -1856 -2080 -1856 -2096
WIRE -1680 -2064 -1680 -2096
WIRE -592 -2000 -592 -2016
WIRE -1856 -1984 -1856 -2000
WIRE -1680 -1984 -1680 -2000
WIRE -560 -1936 -608 -1936
WIRE -432 -1936 -480 -1936
WIRE -384 -1936 -432 -1936
WIRE -352 -1936 -384 -1936
WIRE -608 -1920 -608 -1936
WIRE -432 -1920 -432 -1936
WIRE -1808 -1904 -1856 -1904
WIRE -1680 -1904 -1728 -1904
WIRE -1616 -1904 -1680 -1904
WIRE -1536 -1904 -1616 -1904
WIRE -1856 -1888 -1856 -1904
WIRE -1680 -1872 -1680 -1904
WIRE -432 -1840 -432 -1856
WIRE -608 -1824 -608 -1840
WIRE -1856 -1792 -1856 -1808
WIRE -1680 -1792 -1680 -1808
WIRE 640 -1792 512 -1792
WIRE 512 -1760 512 -1792
WIRE -512 -1728 -608 -1728
WIRE -464 -1728 -512 -1728
WIRE -2800 -1712 -2832 -1712
WIRE -2784 -1712 -2800 -1712
WIRE -1808 -1712 -1856 -1712
WIRE -1728 -1712 -1808 -1712
WIRE -608 -1712 -608 -1728
WIRE -2832 -1696 -2832 -1712
WIRE -1856 -1696 -1856 -1712
WIRE 512 -1648 512 -1680
WIRE -608 -1616 -608 -1632
WIRE -2832 -1600 -2832 -1616
WIRE -1856 -1600 -1856 -1616
WIRE -576 -1568 -608 -1568
WIRE -560 -1568 -576 -1568
WIRE -608 -1552 -608 -1568
WIRE -1808 -1520 -1856 -1520
WIRE -1728 -1520 -1808 -1520
WIRE -1856 -1504 -1856 -1520
WIRE -608 -1456 -608 -1472
WIRE -1856 -1408 -1856 -1424
WIRE -544 -1408 -608 -1408
WIRE -464 -1408 -544 -1408
WIRE -608 -1392 -608 -1408
WIRE -1808 -1344 -1856 -1344
WIRE -1728 -1344 -1808 -1344
WIRE -1856 -1328 -1856 -1344
WIRE -608 -1296 -608 -1312
WIRE -512 -1264 -608 -1264
WIRE -416 -1264 -512 -1264
WIRE -608 -1248 -608 -1264
WIRE -1856 -1232 -1856 -1248
WIRE -608 -1152 -608 -1168
WIRE -368 -1008 -608 -1008
WIRE -352 -1008 -368 -1008
WIRE -272 -1008 -352 -1008
WIRE -96 -1008 -192 -1008
WIRE -2000 -992 -2032 -992
WIRE -1856 -992 -1920 -992
WIRE -1824 -992 -1856 -992
WIRE -896 -960 -992 -960
WIRE -768 -960 -816 -960
WIRE -688 -960 -768 -960
WIRE -656 -960 -688 -960
WIRE -992 -944 -992 -960
WIRE -608 -944 -608 -1008
WIRE -656 -928 -656 -960
