Version 4
SHEET 1 3748 852
WIRE -1872 -2512 -1952 -2512
WIRE -1840 -2512 -1872 -2512
WIRE -1616 -2512 -1680 -2512
WIRE -1552 -2512 -1616 -2512
WIRE -1840 -2448 -1840 -2512
WIRE -1680 -2448 -1680 -2512
WIRE -1840 -2336 -1840 -2368
WIRE -1792 -2336 -1840 -2336
WIRE -1680 -2336 -1680 -2368
WIRE -1680 -2336 -1792 -2336
WIRE -1840 -2288 -1840 -2336
WIRE 2864 -2176 2848 -2176
WIRE 2928 -2176 2864 -2176
WIRE 1248 -2160 1232 -2160
WIRE 1312 -2160 1248 -2160
WIRE 2848 -2160 2848 -2176
WIRE 1232 -2144 1232 -2160
WIRE 2848 -2064 2848 -2080
WIRE 1232 -2048 1232 -2064
WIRE -1856 -1920 -1904 -1920
WIRE -1728 -1920 -1776 -1920
WIRE -1648 -1920 -1728 -1920
WIRE -1584 -1920 -1648 -1920
WIRE -1904 -1904 -1904 -1920
WIRE -1248 -1904 -1328 -1904
WIRE -1168 -1904 -1248 -1904
WIRE -592 -1904 -656 -1904
WIRE -512 -1904 -592 -1904
WIRE 272 -1904 192 -1904
WIRE 400 -1904 352 -1904
WIRE 496 -1904 400 -1904
WIRE 560 -1904 496 -1904
WIRE -1728 -1888 -1728 -1920
WIRE -1328 -1888 -1328 -1904
WIRE -656 -1888 -656 -1904
WIRE 192 -1888 192 -1904
WIRE 400 -1888 400 -1904
WIRE 1632 -1888 1232 -1888
WIRE 1760 -1888 1712 -1888
WIRE 1840 -1888 1760 -1888
WIRE 1920 -1888 1840 -1888
WIRE 1232 -1872 1232 -1888
WIRE 1760 -1872 1760 -1888
WIRE -1904 -1808 -1904 -1824
WIRE -1728 -1808 -1728 -1824
WIRE 400 -1808 400 -1824
WIRE -1328 -1792 -1328 -1808
WIRE -656 -1792 -656 -1808
WIRE 192 -1792 192 -1808
WIRE 1760 -1792 1760 -1808
WIRE 1232 -1776 1232 -1792
WIRE 1808 -1744 1760 -1744
WIRE 1872 -1744 1808 -1744
WIRE 1280 -1728 1232 -1728
WIRE 1328 -1728 1280 -1728
WIRE 1760 -1728 1760 -1744
WIRE 1232 -1712 1232 -1728
WIRE -1856 -1696 -1904 -1696
WIRE -1728 -1696 -1776 -1696
WIRE -1632 -1696 -1728 -1696
WIRE -1584 -1696 -1632 -1696
WIRE -1296 -1696 -1328 -1696
WIRE -1168 -1696 -1296 -1696
WIRE -608 -1696 -656 -1696
WIRE -528 -1696 -608 -1696
WIRE 272 -1696 192 -1696
WIRE 400 -1696 352 -1696
WIRE 496 -1696 400 -1696
WIRE 560 -1696 496 -1696
WIRE -1904 -1680 -1904 -1696
WIRE -1328 -1680 -1328 -1696
WIRE -656 -1680 -656 -1696
WIRE 192 -1680 192 -1696
WIRE 400 -1680 400 -1696
WIRE -1728 -1664 -1728 -1696
WIRE 1760 -1632 1760 -1648
WIRE 1232 -1616 1232 -1632
WIRE 400 -1600 400 -1616
WIRE -1904 -1584 -1904 -1600
WIRE -1728 -1584 -1728 -1600
WIRE -1328 -1584 -1328 -1600
WIRE -656 -1584 -656 -1600
WIRE 192 -1584 192 -1600
WIRE 1424 -1552 1232 -1552
WIRE 1568 -1552 1504 -1552
WIRE 1632 -1552 1568 -1552
WIRE 1712 -1552 1632 -1552
WIRE 1232 -1536 1232 -1552
WIRE 1568 -1536 1568 -1552
WIRE 1568 -1456 1568 -1472
WIRE 1232 -1440 1232 -1456
WIRE -1984 -1120 -2064 -1120
WIRE -1920 -1120 -1984 -1120
WIRE -1888 -1120 -1920 -1120
WIRE -1984 -1104 -1984 -1120
WIRE -800 -1088 -880 -1088
WIRE -784 -1088 -800 -1088
WIRE -592 -1088 -784 -1088
WIRE -464 -1088 -512 -1088
WIRE -352 -1088 -384 -1088
WIRE -208 -1088 -272 -1088
WIRE 432 -1072 384 -1072
WIRE 528 -1072 432 -1072
WIRE 1008 -1072 960 -1072
WIRE 1104 -1072 1008 -1072
WIRE -880 -1056 -880 -1088
WIRE -800 -1056 -800 -1088
WIRE 384 -1056 384 -1072
WIRE 960 -1056 960 -1072
WIRE -208 -1024 -208 -1088
WIRE -1984 -992 -1984 -1024
WIRE 384 -960 384 -976
WIRE 960 -960 960 -976
WIRE -1920 -928 -1984 -928
WIRE -1872 -928 -1920 -928
WIRE -880 -928 -880 -976
WIRE -800 -928 -800 -992
WIRE -1984 -912 -1984 -928
WIRE 2912 -896 2864 -896
WIRE 3008 -896 2912 -896
WIRE 432 -880 384 -880
WIRE 528 -880 432 -880
WIRE 2864 -880 2864 -896
WIRE 384 -864 384 -880
WIRE -1984 -816 -1984 -832
WIRE -768 -800 -896 -800
WIRE -640 -784 -688 -784
WIRE -592 -784 -640 -784
WIRE 2864 -784 2864 -800
WIRE -896 -768 -896 -800
WIRE -688 -768 -688 -784
WIRE 384 -768 384 -784
WIRE -1904 -752 -1984 -752
WIRE -1808 -752 -1904 -752
WIRE -1984 -736 -1984 -752
WIRE 432 -688 384 -688
WIRE 528 -688 432 -688
WIRE 2912 -688 2864 -688
WIRE 3008 -688 2912 -688
WIRE -688 -672 -688 -688
WIRE 384 -672 384 -688
WIRE 2864 -672 2864 -688
WIRE -896 -656 -896 -688
WIRE -1984 -640 -1984 -656
WIRE -592 -608 -688 -608
WIRE -448 -608 -592 -608
WIRE -688 -592 -688 -608
WIRE 384 -576 384 -592
WIRE 2864 -576 2864 -592
WIRE -1920 -560 -1984 -560
WIRE -1872 -560 -1920 -560
WIRE -1984 -544 -1984 -560
WIRE -688 -496 -688 -512
WIRE -1984 -448 -1984 -464
FLAG -1952 -2512 A
IOPIN -1952 -2512 BiDir
FLAG -1792 -2336 p
FLAG -1552 -2512 C
IOPIN -1552 -2512 BiDir
FLAG -1984 -992 0
FLAG -2064 -1120 Vc
IOPIN -2064 -1120 In
FLAG -1840 -2288 P
IOPIN -1840 -2288 BiDir
FLAG -1920 -1120 Vc
FLAG -1616 -2512 c
