Version 4
SHEET 1 4220 852
WIRE -1600 -4432 -1648 -4432
WIRE -1472 -4432 -1520 -4432
WIRE -1392 -4432 -1472 -4432
WIRE -1328 -4432 -1392 -4432
WIRE -944 -4432 -1024 -4432
WIRE -880 -4432 -944 -4432
WIRE -848 -4432 -880 -4432
WIRE -1648 -4416 -1648 -4432
WIRE -944 -4416 -944 -4432
WIRE -640 -4416 -704 -4416
WIRE -592 -4416 -640 -4416
WIRE -1472 -4400 -1472 -4432
WIRE -704 -4400 -704 -4416
WIRE -1744 -4384 -1824 -4384
WIRE -1648 -4320 -1648 -4336
WIRE -1472 -4320 -1472 -4336
WIRE -944 -4304 -944 -4336
WIRE -704 -4304 -704 -4320
WIRE -864 -4240 -944 -4240
WIRE -768 -4240 -864 -4240
WIRE -944 -4224 -944 -4240
WIRE -1600 -4160 -1648 -4160
WIRE -1472 -4160 -1520 -4160
WIRE -1376 -4160 -1472 -4160
WIRE -1328 -4160 -1376 -4160
WIRE -1648 -4144 -1648 -4160
WIRE -1472 -4128 -1472 -4160
WIRE -944 -4128 -944 -4144
WIRE -1728 -4112 -1792 -4112
WIRE -880 -4064 -944 -4064
WIRE -832 -4064 -880 -4064
WIRE -1648 -4048 -1648 -4064
WIRE -1472 -4048 -1472 -4064
WIRE -944 -4048 -944 -4064
WIRE -944 -3952 -944 -3968
WIRE -256 -3648 -336 -3648
WIRE -128 -3648 -176 -3648
WIRE -32 -3648 -128 -3648
WIRE 32 -3648 -32 -3648
WIRE -336 -3632 -336 -3648
WIRE -128 -3632 -128 -3648
WIRE -1808 -3552 -1888 -3552
WIRE -1728 -3552 -1808 -3552
WIRE -1152 -3552 -1216 -3552
WIRE -1072 -3552 -1152 -3552
WIRE -128 -3552 -128 -3568
WIRE -1888 -3536 -1888 -3552
WIRE -1216 -3536 -1216 -3552
WIRE -336 -3536 -336 -3552
WIRE -1888 -3440 -1888 -3456
WIRE -1216 -3440 -1216 -3456
WIRE -256 -3376 -336 -3376
WIRE -128 -3376 -176 -3376
WIRE -32 -3376 -128 -3376
WIRE 32 -3376 -32 -3376
WIRE -336 -3360 -336 -3376
WIRE -128 -3360 -128 -3376
WIRE -1856 -3344 -1888 -3344
WIRE -1728 -3344 -1856 -3344
WIRE -1168 -3344 -1216 -3344
WIRE -1088 -3344 -1168 -3344
WIRE -1888 -3328 -1888 -3344
WIRE -1216 -3328 -1216 -3344
WIRE -128 -3280 -128 -3296
WIRE -336 -3264 -336 -3280
WIRE -1888 -3232 -1888 -3248
WIRE -1216 -3232 -1216 -3248
WIRE -704 -2912 -976 -2912
WIRE -448 -2912 -624 -2912
WIRE -368 -2912 -448 -2912
WIRE -288 -2912 -368 -2912
WIRE -976 -2896 -976 -2912
WIRE -448 -2896 -448 -2912
WIRE -1728 -2880 -1744 -2880
WIRE -1664 -2880 -1728 -2880
WIRE -1744 -2864 -1744 -2880
WIRE -448 -2816 -448 -2832
WIRE -976 -2800 -976 -2816
WIRE -1744 -2768 -1744 -2784
WIRE -400 -2768 -448 -2768
WIRE -336 -2768 -400 -2768
WIRE -928 -2752 -976 -2752
WIRE -880 -2752 -928 -2752
WIRE -448 -2752 -448 -2768
WIRE -976 -2736 -976 -2752
WIRE -448 -2656 -448 -2672
WIRE -976 -2640 -976 -2656
WIRE -784 -2576 -976 -2576
WIRE -640 -2576 -704 -2576
WIRE -560 -2576 -640 -2576
WIRE -496 -2576 -560 -2576
WIRE -976 -2560 -976 -2576
WIRE -640 -2560 -640 -2576
WIRE -640 -2480 -640 -2496
WIRE -976 -2464 -976 -2480
WIRE -1568 -2224 -1664 -2224
WIRE -1264 -2224 -1568 -2224
WIRE -1104 -2224 -1264 -2224
WIRE -1264 -2208 -1264 -2224
WIRE -1664 -2176 -1664 -2224
WIRE -1104 -2176 -1104 -2224
WIRE -1360 -2128 -1360 -2208
WIRE -624 -2112 -672 -2112
WIRE -528 -2112 -624 -2112
WIRE -48 -2112 -96 -2112
WIRE 48 -2112 -48 -2112
WIRE -672 -2096 -672 -2112
WIRE -96 -2096 -96 -2112
WIRE -1664 -2048 -1664 -2096
WIRE -1264 -2048 -1264 -2064
WIRE -1104 -2048 -1104 -2096
WIRE -672 -2000 -672 -2016
WIRE -96 -2000 -96 -2016
WIRE 832 -2000 784 -2000
WIRE 928 -2000 832 -2000
WIRE 784 -1984 784 -2000
WIRE 784 -1888 784 -1904
WIRE -464 -1872 -672 -1872
WIRE -1584 -1856 -1664 -1856
WIRE -1472 -1856 -1504 -1856
WIRE -1344 -1856 -1472 -1856
WIRE -1312 -1856 -1344 -1856
WIRE -672 -1856 -672 -1872
WIRE -1664 -1840 -1664 -1856
WIRE -1472 -1840 -1472 -1856
WIRE 832 -1792 784 -1792
WIRE 928 -1792 832 -1792
WIRE 784 -1776 784 -1792
WIRE -1472 -1760 -1472 -1776
WIRE -672 -1760 -672 -1776
WIRE -1664 -1744 -1664 -1760
WIRE 784 -1680 784 -1696
WIRE -1584 -1632 -1680 -1632
WIRE -1488 -1632 -1584 -1632
WIRE -496 -1632 -672 -1632
WIRE -1680 -1616 -1680 -1632
WIRE -672 -1616 -672 -1632
WIRE -1680 -1520 -1680 -1536
WIRE -672 -1520 -672 -1536
WIRE -1328 -1312 -1456 -1312
WIRE -1104 -1312 -1232 -1312
WIRE -1456 -1280 -1456 -1312
WIRE -1232 -1280 -1232 -1312
WIRE -1456 -1168 -1456 -1200
WIRE -1232 -1168 -1232 -1200
FLAG -944 -4304 0
FLAG -1024 -4432 Vc
IOPIN -1024 -4432 In
FLAG -880 -4432 Vc
FLAG -880 -4064 I_pk
FLAG -944 -4128 0
FLAG -864 -4240 I_Pk_min
FLAG -944 -3952 0
FLAG -704 -4304 0
FLAG -640 -4416 I_pk_raw
FLAG -1888 -3440 0
FLAG -1808 -3552 Don_0
FLAG -1888 -3232 0
FLAG -976 -2800 0
FLAG -560 -2576 CCM
FLAG -448 -2816 0
FLAG -1216 -3440 0
FLAG -1216 -3232 0
FLAG -1168 -3344 Doff_1
FLAG -336 -3536 0
FLAG -32 -3648 Don_2
FLAG -128 -3552 0
FLAG -336 -3264 0
FLAG -32 -3376 Doff_2
FLAG -128 -3280 0
FLAG 784 -1888 0
FLAG 832 -2000 delta_I_demag
FLAG -96 -2000 0
FLAG -48 -2112 I_min_mag
FLAG -672 -2000 0
FLAG -624 -2112 delta_I_mag
FLAG -672 -1760 0
FLAG -464 -1872 I_mag
IOPIN -464 -1872 Out
FLAG -672 -1520 0
FLAG -496 -1632 I_demag
IOPIN -496 -1632 Out
FLAG 784 -1680 0
FLAG 832 -1792 I_min_demag
FLAG -1856 -3344 Doff_0
FLAG -1568 -2224 CCM_Ind_V
FLAG -1648 -4320 0
FLAG -1392 -4432 mag
FLAG -1472 -4320 0
FLAG -1456 -1168 0
FLAG -368 -2912 CCM_raw
FLAG -1152 -3552 Don_1
FLAG -1680 -1520 0
FLAG -1584 -1632 Ind_V
FLAG -1648 -4048 0
FLAG -1376 -4160 demag
FLAG -1472 -4048 0
FLAG -1744 -2768 0
FLAG -1728 -2880 CCM_test
FLAG -976 -2464 0
FLAG -928 -2752 tst1
FLAG -976 -2640 0
FLAG -400 -2768 tst2
FLAG -448 -2656 0
FLAG -640 -2480 0
FLAG -1664 -2048 0
FLAG -1264 -2048 0
FLAG -1104 -2048 0
FLAG -1824 -4384 V_mag
IOPIN -1824 -4384 In
FLAG -1792 -4112 V_demag
IOPIN -1792 -4112 In
FLAG -1232 -1168 0
FLAG -1360 -2128 0
FLAG -1664 -1744 0
FLAG -1344 -1856 Rs
FLAG -1472 -1760 0
DATAFLAG -1376 -1312 ""
DATAFLAG -1152 -1312 ""
SYMBOL res -960 -4432 R0
SYMATTR InstName R3
SYMATTR Value 1G
SYMBOL bv -944 -4240 R0
WINDOW 3 49 63 Left 2
WINDOW 0 49 38 Left 2
SYMATTR Value V=  V(mag) * {D_min / (Fs * L ) }
SYMATTR InstName B6
SYMBOL bv -944 -4064 R0
WINDOW 3 45 73 Left 2
WINDOW 0 42 44 Left 2
SYMATTR Value V=  max( V(I_pk_raw), V(I_pk_min)  )
SYMATTR InstName B10
SYMBOL bv -704 -4416 R0
WINDOW 3 45 56 Left 2
WINDOW 0 43 32 Left 2
SYMATTR Value V=  ( V(Vc) - {SlopeAmp} * V(don_2) ) / {Ri}
SYMATTR InstName B26
SYMBOL bv -1888 -3552 R0
WINDOW 3 54 81 Left 2
WINDOW 0 52 49 Left 2
SYMATTR Value V = {Fs * L} * V(I_pk) / V(mag)
SYMATTR InstName B21
SYMBOL bv -1888 -3344 R0
WINDOW 3 65 81 Left 2
WINDOW 0 58 41 Left 2
SYMATTR Value V = {Fs * L} * V(I_pk) / (V(demag) + 1u)
SYMATTR InstName B11
SYMBOL bv -976 -2912 R0
WINDOW 3 53 99 Left 2
WINDOW 0 50 64 Left 2
SYMATTR Value V= if (  V(CCM_test)  > 1 , 1, 0  )
SYMATTR InstName B12
SYMBOL res -608 -2928 R90
WINDOW 0 -3 55 VBottom 2
WINDOW 3 36 51 VTop 2
SYMATTR InstName R7
SYMATTR Value {100*R_lp}
SYMBOL cap -464 -2896 R0
WINDOW 0 38 10 Left 2
