Version 4
SHEET 1 3748 852
WIRE -2000 -2448 -2032 -2448
WIRE -1872 -2448 -1920 -2448
WIRE -1840 -2448 -1872 -2448
WIRE -1616 -2448 -1680 -2448
WIRE -1552 -2448 -1616 -2448
WIRE -1840 -2384 -1840 -2448
WIRE -1680 -2384 -1680 -2448
WIRE -1840 -2272 -1840 -2304
WIRE -1792 -2272 -1840 -2272
WIRE -1680 -2272 -1680 -2304
WIRE -1680 -2272 -1792 -2272
WIRE -1840 -2240 -1840 -2272
WIRE 1984 -2176 1968 -2176
WIRE 2048 -2176 1984 -2176
WIRE 1248 -2160 1232 -2160
WIRE 1312 -2160 1248 -2160
WIRE 1968 -2160 1968 -2176
WIRE 1232 -2144 1232 -2160
WIRE -1840 -2128 -1840 -2160
WIRE 1968 -2064 1968 -2080
WIRE 1232 -2048 1232 -2064
WIRE 1312 -1968 1232 -1968
WIRE 1440 -1968 1392 -1968
WIRE 1520 -1968 1440 -1968
WIRE 1600 -1968 1520 -1968
WIRE 1232 -1952 1232 -1968
WIRE 1440 -1952 1440 -1968
WIRE -1856 -1920 -1904 -1920
WIRE -1728 -1920 -1776 -1920
WIRE -1648 -1920 -1728 -1920
WIRE -1584 -1920 -1648 -1920
WIRE -1904 -1904 -1904 -1920
WIRE -1248 -1904 -1328 -1904
WIRE -1168 -1904 -1248 -1904
WIRE -592 -1904 -656 -1904
WIRE -512 -1904 -592 -1904
WIRE 272 -1904 192 -1904
WIRE 400 -1904 352 -1904
WIRE 496 -1904 400 -1904
WIRE 560 -1904 496 -1904
WIRE -1728 -1888 -1728 -1920
WIRE -1328 -1888 -1328 -1904
WIRE -656 -1888 -656 -1904
WIRE 192 -1888 192 -1904
WIRE 400 -1888 400 -1904
WIRE 1440 -1872 1440 -1888
WIRE 1232 -1856 1232 -1872
WIRE -1904 -1808 -1904 -1824
WIRE -1728 -1808 -1728 -1824
WIRE 400 -1808 400 -1824
WIRE -1328 -1792 -1328 -1808
WIRE -656 -1792 -656 -1808
WIRE 192 -1792 192 -1808
WIRE -1856 -1696 -1904 -1696
WIRE -1728 -1696 -1776 -1696
WIRE -1632 -1696 -1728 -1696
WIRE -1584 -1696 -1632 -1696
WIRE -1296 -1696 -1328 -1696
WIRE -1168 -1696 -1296 -1696
WIRE -608 -1696 -656 -1696
WIRE -528 -1696 -608 -1696
WIRE 272 -1696 192 -1696
WIRE 400 -1696 352 -1696
