Version 4
SHEET 1 2756 1988
WIRE 384 -2240 304 -2240
WIRE 480 -2240 384 -2240
WIRE 304 -2192 304 -2240
WIRE 304 -2064 304 -2112
WIRE -1120 -1632 -1232 -1632
WIRE -1008 -1632 -1120 -1632
WIRE -1232 -1600 -1232 -1632
WIRE -1728 -1488 -1808 -1488
WIRE -1648 -1488 -1728 -1488
WIRE -1232 -1472 -1232 -1520
WIRE -1808 -1440 -1808 -1488
WIRE -1376 -1344 -1424 -1344
WIRE -1296 -1344 -1376 -1344
WIRE -608 -1344 -1216 -1344
WIRE -464 -1344 -608 -1344
WIRE -448 -1344 -464 -1344
WIRE -384 -1344 -448 -1344
WIRE -256 -1344 -384 -1344
WIRE -1808 -1328 -1808 -1360
WIRE -1648 -1296 -1648 -1488
WIRE -1424 -1296 -1424 -1344
WIRE -256 -1296 -256 -1344
WIRE -448 -1264 -448 -1344
WIRE -384 -1264 -384 -1344
WIRE -384 -1184 -384 -1200
WIRE -1424 -1168 -1424 -1216
WIRE -1808 -1152 -1824 -1152
WIRE -1648 -1152 -1648 -1216
WIRE -1648 -1152 -1728 -1152
WIRE -1648 -1104 -1648 -1152
WIRE -1408 -1104 -1648 -1104
WIRE -448 -1072 -448 -1200
WIRE -384 -1072 -384 -1104
WIRE -256 -1072 -256 -1216
WIRE -1648 -1056 -1648 -1104
WIRE 512 -1008 384 -1008
WIRE 672 -1008 512 -1008
WIRE 1312 -1008 1072 -1008
WIRE 1680 -1008 1392 -1008
WIRE 2032 -1008 1680 -1008
WIRE 2080 -1008 2032 -1008
WIRE 2160 -1008 2080 -1008
WIRE 2288 -1008 2160 -1008
WIRE 2160 -976 2160 -1008
WIRE 2288 -960 2288 -1008
WIRE 1680 -944 1680 -1008
WIRE 384 -928 384 -1008
WIRE 2032 -928 2032 -1008
WIRE -1648 -912 -1648 -1056
WIRE -1616 -912 -1648 -912
WIRE -1264 -912 -1328 -912
WIRE -1616 -864 -1728 -864
WIRE 2160 -864 2160 -912
WIRE -1264 -848 -1264 -912
WIRE 1120 -848 1072 -848
WIRE 672 -832 560 -832
WIRE 384 -816 384 -848
WIRE 1120 -800 1120 -848
WIRE 672 -784 640 -784
WIRE 1680 -784 1680 -864
WIRE 1760 -784 1680 -784
WIRE 1824 -784 1760 -784
WIRE -608 -768 -608 -1344
WIRE -464 -768 -608 -768
WIRE 640 -736 640 -784
WIRE 1824 -736 1824 -784
WIRE 2032 -736 2032 -864
WIRE 2160 -736 2160 -784
WIRE 2288 -736 2288 -880
WIRE -464 -720 -464 -768
WIRE 1680 -608 1680 -784
WIRE -608 -592 -608 -768
WIRE 1824 -592 1824 -656
WIRE -464 -576 -464 -640
WIRE 1680 -480 1680 -528
WIRE 1824 -480 1824 -528
WIRE 1824 -480 1680 -480
WIRE -608 -464 -608 -512
WIRE -464 -464 -464 -512
WIRE -464 -464 -608 -464
WIRE 1536 -416 1376 -416
WIRE 1680 -416 1680 -480
WIRE 1680 -416 1536 -416
WIRE -752 -400 -912 -400
WIRE -608 -400 -608 -464
WIRE -608 -400 -752 -400
WIRE 560 -400 560 -832
WIRE 816 -400 560 -400
WIRE 896 -400 816 -400
WIRE -1728 -384 -1728 -864
WIRE -1472 -384 -1728 -384
WIRE -1392 -384 -1472 -384
WIRE 1680 -368 1680 -416
WIRE -608 -352 -608 -400
WIRE 1680 -240 1680 -288
WIRE -608 -224 -608 -272
WIRE 752 144 640 144
WIRE 912 144 832 144
WIRE 1056 144 960 144
WIRE 1168 144 1056 144
WIRE 1584 144 1248 144
WIRE 1936 144 1584 144
WIRE 1984 144 1936 144
WIRE 2064 144 1984 144
WIRE 2192 144 2064 144
WIRE 1056 176 1056 144
WIRE 2064 176 2064 144
WIRE 912 192 912 144
WIRE 2192 192 2192 144
WIRE 960 208 960 144
WIRE 1584 208 1584 144
WIRE 1936 224 1936 144
WIRE 2064 288 2064 240
WIRE 1584 368 1584 288
WIRE 1664 368 1584 368
WIRE 1728 368 1664 368
WIRE 128 384 0 384
WIRE 464 384 128 384
WIRE 912 384 912 272
WIRE 912 384 464 384
WIRE 960 384 960 256
WIRE 1056 384 1056 256
WIRE 1056 384 960 384
WIRE 1152 384 1056 384
WIRE 464 416 464 384
WIRE 1728 416 1728 368
WIRE 1936 416 1936 288
WIRE 2064 416 2064 368
WIRE 2192 416 2192 272
WIRE 1152 432 1152 384
WIRE 0 464 0 384
WIRE 464 544 464 496
WIRE 1584 544 1584 368
WIRE 1728 560 1728 496
WIRE 0 576 0 544
WIRE 640 592 640 144
WIRE 640 592 560 592
WIRE 640 640 560 640
WIRE 1584 736 1584 624
WIRE 1728 736 1728 624
WIRE 1728 736 1584 736
WIRE 464 752 464 704
WIRE 640 960 640 640
WIRE 640 960 192 960
WIRE 1168 1360 1008 1360
WIRE 1584 1360 1584 736
WIRE 1584 1360 1168 1360
WIRE 192 1376 192 960
WIRE 448 1376 192 1376
WIRE 528 1376 448 1376
WIRE 1584 1408 1584 1360
WIRE 1584 1536 1584 1488
FLAG -752 -400 Vi
FLAG -1472 -384 Vc
FLAG -1264 -848 0
FLAG -1808 -1328 0
FLAG -1648 -1056 a
FLAG -1728 -1488 Vin
FLAG -1824 -1152 0
FLAG 304 -2064 0
FLAG 384 -2240 Rload
FLAG -1424 -1168 0
FLAG -464 -1344 Vout
FLAG -608 -224 0
FLAG -1376 -1344 V_L2
FLAG -1232 -1472 0
FLAG -1120 -1632 R_diode
FLAG 384 -816 0
FLAG 2080 -1008 Vout_av
FLAG 2160 -736 0
FLAG 2288 -736 0
FLAG 1536 -416 Vi_av
FLAG 816 -400 Vc_av
FLAG 1680 -240 0
FLAG 512 -1008 Vin_av
FLAG 1760 -784 Vin_bode
FLAG -448 -1072 0
FLAG -384 -1072 0
FLAG -256 -1072 0
FLAG 2032 -736 0
FLAG 640 -736 0
FLAG 1120 -800 0
FLAG 0 576 0
FLAG 1984 144 Vout_BU
FLAG 2064 416 0
FLAG 2192 416 0
FLAG 1168 1360 Vi_BU
FLAG 448 1376 Vc_BU
FLAG 1584 1536 0
FLAG 128 384 Vin_BU
FLAG 1664 368 Vin_bode_BU
FLAG 1936 416 0
FLAG 464 752 0
FLAG 1152 432 0
DATAFLAG 656 -400 ""
DATAFLAG 288 1376 ""
SYMBOL TransconErrorAmp -1008 -464 M0
WINDOW 0 351 -49 Left 2
WINDOW 39 -786 315 Left 2
SYMATTR InstName X4
SYMATTR SpiceLine Gain = {TA_Gain}, C_comp2= {TA_Ccomp2}, C_comp = {TA_Ccomp}, R_comp = {TA_Rcomp}, Pos = {TA_compMax}, Neg = 10m,  Vref = {Vref}
SYMBOL res -272 -1312 R0
SYMATTR InstName R3
SYMATTR Value R = V(Rload)
SYMBOL ind2 -1664 -1312 R0
WINDOW 0 56 38 Left 2
WINDOW 3 54 68 Left 2
SYMATTR InstName Lpri
SYMATTR Value {L1}
SYMATTR Type ind
